Passengers,Fare,Itinerary,Subs Itinerary 1,Subs Itinerary 2,Subs Itinerary 3
1,327.5,"(757,)",,,
1,327.5,"(390,)",,,
1,327.5,"(665,)",,,
1,327.5,"(44,)",,,
2,327.5,"(430,)",,,
1,327.5,"(214,)",,,
1,327.5,"(172,)",,,
1,327.5,"(131,)",,,
2,327.5,"(206,)",,,
2,327.5,"(355,)",,,
2,327.5,"(343,)",,,
1,327.5,"(363,)",,,
1,327.5,"(323,)",,,
1,327.5,"(453,)",,,
3,327.5,"(326,)",,,
3,327.5,"(756,)",,,
2,327.5,"(320,)",,,
2,327.5,"(305,)",,,
4,327.5,"(572,)",,,
4,327.5,"(473,)","(423, 38)",,
3,327.5,"(223,)",,,
1,327.5,"(511,)",,,
1,327.5,"(465,)",,,
1,277.5,"(664,)",,,
1,277.5,"(46,)",,,
1,277.5,"(264,)",,,
1,277.5,"(194,)",,,
2,277.5,"(595,)",,,
2,277.5,"(721,)",,,
1,324.5,"(213,)",,,
1,324.5,"(343,)",,,
1,158.0,"(756,)",,,
1,158.0,"(328,)",,,
1,158.0,"(678,)",,,
1,158.0,"(386,)",,,
3,158.0,"(477,)",,,
3,158.0,"(561,)","(562,)",,
2,158.0,"(457,)",,,
2,158.0,"(374,)",,,
1,158.0,"(492,)",,,
1,158.0,"(714,)",,,
1,158.0,"(212,)",,,
1,158.0,"(45,)",,,
1,158.0,"(664,)",,,
1,158.0,"(697,)",,,
1,158.0,"(58,)",,,
2,158.0,"(727,)",,,
2,158.0,"(593,)",,,
1,158.0,"(57,)",,,
1,158.0,"(697,)",,,
1,158.0,"(275,)",,,
1,158.0,"(443,)",,,
1,158.0,"(279,)",,,
1,158.0,"(554,)",,,
2,158.0,"(265,)",,,
2,158.0,"(361,)",,,
6,158.0,"(288,)",,,
6,158.0,"(705,)",,,
4,158.0,"(183,)",,,
4,158.0,"(157,)",,,
2,158.0,"(160,)",,,
2,158.0,"(110,)","(109,)",,
2,158.0,"(223,)",,,
3,158.0,"(229,)",,,
3,158.0,"(599,)",,,
1,158.0,"(203,)",,,
1,158.0,"(351,)",,,
1,158.0,"(248,)",,,
1,158.0,"(735,)",,,
1,158.0,"(93,)",,,
1,158.0,"(645,)",,,
2,158.0,"(102,)",,,
2,158.0,"(751,)",,,
2,158.0,"(604,)",,,
4,158.0,"(78,)",,,
4,158.0,"(700,)",,,
1,158.0,"(118,)",,,
1,158.0,"(170,)",,,
3,158.0,"(565,)",,,
3,158.0,"(476,)",,,
1,158.0,"(579,)",,,
9,158.0,"(591,)",,,
9,158.0,"(718,)",,,
1,158.0,"(609,)",,,
3,158.0,"(141,)","(142,)",,
3,158.0,"(189,)","(190,)",,
1,158.0,"(681,)",,,
2,158.0,"(276,)",,,
1,158.0,"(514,)",,,
1,158.0,"(343,)",,,
2,158.0,"(309,)",,,
2,158.0,"(558,)",,,
3,158.0,"(763,)",,,
3,158.0,"(497,)",,,
2,158.0,"(380,)",,,
1,187.5,"(381,)",,,
1,187.5,"(755,)",,,
1,187.5,"(293,)",,,
1,187.5,"(684,)",,,
2,187.5,"(442,)",,,
2,187.5,"(115,)",,,
4,187.5,"(457,)",,,
4,187.5,"(373,)",,,
1,187.5,"(12,)",,,
1,187.5,"(342,)",,,
1,187.5,"(47,)",,,
1,187.5,"(690,)",,,
1,187.5,"(696,)",,,
1,187.5,"(57,)",,,
3,187.5,"(430,)",,,
3,187.5,"(58,)",,,
3,187.5,"(696,)",,,
3,187.5,"(265,)",,,
3,187.5,"(361,)",,,
3,187.5,"(521,)",,,
1,187.5,"(230,)",,,
1,187.5,"(599,)",,,
1,187.5,"(205,)",,,
1,187.5,"(349,)",,,
2,187.5,"(60,)",,,
2,187.5,"(364,)",,,
4,187.5,"(560,)",,,
4,187.5,"(382,)",,,
2,187.5,"(592,)",,,
2,187.5,"(720,)",,,
1,187.5,"(608,)",,,
1,187.5,"(282,)",,,
2,187.5,"(116,)",,,
2,187.5,"(552,)",,,
3,187.5,"(348,)",,,
1,187.5,"(392,)",,,
1,187.5,"(757,)",,,
1,184.5,"(668,)",,,
1,184.5,"(239,)",,,
1,184.5,"(492,)",,,
1,184.5,"(715,)",,,
1,184.5,"(643,)",,,
1,184.5,"(94,)",,,
1,184.5,"(273,)",,,
1,184.5,"(445,)",,,
1,184.5,"(276,)",,,
1,184.5,"(265,)",,,
1,184.5,"(361,)",,,
1,184.5,"(211,)",,,
1,184.5,"(252,)",,,
1,184.5,"(739,)",,,
3,184.5,"(255,)",,,
3,184.5,"(754,)",,,
1,184.5,"(96,)",,,
1,184.5,"(644,)",,,
3,184.5,"(343,)",,,
1,184.5,"(325,)",,,
1,184.5,"(455,)",,,
2,184.5,"(524,)",,,
3,184.5,"(591,)",,,
3,184.5,"(721,)",,,
1,184.5,"(619,)",,,
2,184.5,"(153,)",,,
2,184.5,"(179,)",,,
2,184.5,"(609,)",,,
1,184.5,"(376,)","(385, 681)",,
5,163.0,"(757,)",,,
5,163.0,"(392,)",,,
2,163.0,"(665,)",,,
2,163.0,"(44,)",,,
1,163.0,"(468,)",,,
1,163.0,"(537,)",,,
1,163.0,"(447,)","(448,)",,
1,163.0,"(475,)",,,
1,163.0,"(565,)",,,
1,163.0,"(0,)",,,
1,163.0,"(68,)",,,
3,163.0,"(720,)",,,
3,163.0,"(595,)",,,
1,163.0,"(288,)",,,
