OriginAirportID,DestAirportID,DayOfWeek,DepTimeBlk30,ArrTimeBlk30,Aircraft,Seats,AirTime,Cost,AircraftGroup
10140,12478,1,2359,559,A320-232,162,245.0,26143.964506172837,694
10140,12478,2,2359,559,A320-232,162,245.0,26143.964506172837,694
10140,12478,3,2359,559,A320-232,162,245.0,26143.964506172837,694
10140,12478,4,2359,559,A320-232,162,246.0,26250.674565381705,694
10140,12478,5,2359,559,A320-232,162,246.0,26250.674565381705,694
10140,12478,6,2359,559,A320-232,162,245.0,26143.964506172837,694
10140,12478,7,2359,559,A320-232,162,245.0,26143.964506172837,694
10154,10721,1,1429,1529,E190-100,100,52.0,6050.213695945118,678
10154,10721,2,1429,1529,E190-100,100,52.0,6050.213695945118,678
10154,10721,3,1429,1529,E190-100,100,52.0,6050.213695945118,678
10154,10721,4,1429,1529,E190-100,100,52.0,6050.213695945118,678
10154,10721,5,1059,1129,E190-100,100,51.0,5933.8634325615585,678
10154,10721,5,1429,1529,E190-100,100,51.0,5933.8634325615585,678
10154,10721,6,1059,1129,E190-100,100,52.0,6050.213695945118,678
10154,10721,6,1429,1529,E190-100,100,52.0,6050.213695945118,678
10154,10721,7,1059,1129,E190-100,100,51.0,5933.8634325615585,678
10154,10721,7,1429,1529,E190-100,100,51.0,5933.8634325615585,678
10154,11278,1,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,2,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,3,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,4,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,5,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,6,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,11278,7,1129,1259,E190-100,100,104.0,12100.427391890236,678
10154,12197,1,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,2,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,3,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,4,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,5,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,6,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12197,7,1859,2029,E190-100,100,64.0,7446.416856547838,678
10154,12953,1,1159,1259,E190-100,100,75.0,8726.269753766997,678
10154,12953,4,1159,1259,E190-100,100,70.0,8144.518436849198,678
10154,12953,5,1159,1259,E190-100,100,70.0,8144.518436849198,678
10154,12953,6,1159,1259,E190-100,100,70.0,8144.518436849198,678
10154,12953,7,1159,1259,E190-100,100,70.0,8144.518436849198,678
10257,11697,1,729,1029,A320-232,162,188.0,20061.49113126732,694
10257,11697,2,729,1029,A320-232,162,188.0,20061.49113126732,694
10257,11697,4,729,1029,A320-232,162,188.0,20061.49113126732,694
10257,11697,5,729,1029,A320-232,162,188.0,20061.49113126732,694
10257,11697,6,729,1029,A320-232,162,188.0,20061.49113126732,694
10257,11697,7,729,1029,A320-232,162,188.0,20061.49113126732,694
10397,10721,1,629,859,E190-100,100,162.0,18848.742668136718,678
10397,10721,1,959,1229,A220-300,140,162.0,15952.152894356006,724
10397,10721,2,629,859,E190-100,100,162.0,18848.742668136718,678
10397,10721,2,959,1229,A220-300,140,162.0,15952.152894356006,724
10397,10721,3,629,859,E190-100,100,162.0,18848.742668136718,678
10397,10721,6,629,859,E190-100,100,162.0,18848.742668136718,678
10397,10721,7,629,859,E190-100,100,162.0,18848.742668136718,678
10397,10721,7,959,1229,A220-300,140,162.0,15952.152894356006,724
10397,11697,1,729,859,A320-232,162,111.0,11844.81657218443,694
10397,11697,1,729,929,A320-232,162,111.0,11844.81657218443,694
10397,11697,2,729,859,A320-232,162,111.0,11844.81657218443,694
10397,11697,2,729,929,A320-232,162,111.0,11844.81657218443,694
10397,11697,3,729,859,A320-232,162,111.0,11844.81657218443,694
10397,11697,3,729,929,A320-232,162,111.0,11844.81657218443,694
10397,11697,4,729,859,A320-232,162,112.0,11951.526631393299,694
10397,11697,4,729,929,A320-232,162,112.0,11951.526631393299,694
10397,11697,5,729,859,A320-232,162,112.0,11951.526631393299,694
10397,11697,5,729,929,A320-232,162,112.0,11951.526631393299,694
10397,11697,6,729,859,A320-232,162,111.0,11844.81657218443,694
10397,11697,6,729,929,A320-232,162,111.0,11844.81657218443,694
10397,11697,7,729,859,A320-232,162,111.0,11844.81657218443,694
10397,11697,7,729,929,A320-232,162,111.0,11844.81657218443,694
10397,12478,1,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12478,2,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12478,3,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12478,4,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12478,5,1859,2129,E190-100,100,136.0,15823.635820164156,678
10397,12478,6,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12478,7,1859,2129,E190-100,100,135.0,15707.285556780596,678
10397,12953,1,729,929,A320-232,162,145.0,15472.958585285965,694
10397,12953,1,1159,1429,A320-232,162,145.0,15472.958585285965,694
10397,12953,1,1659,1929,A320-232,162,145.0,15472.958585285965,694
10397,12953,2,729,929,A320-232,162,143.0,15259.538466868229,694
10397,12953,2,1159,1429,A320-232,162,143.0,15259.538466868229,694
10397,12953,2,1659,1929,A320-232,162,143.0,15259.538466868229,694
10397,12953,3,729,929,A320-232,162,144.0,15366.248526077097,694
10397,12953,3,1159,1429,A320-232,162,144.0,15366.248526077097,694
10397,12953,3,1659,1929,A320-232,162,144.0,15366.248526077097,694
