OriginAirportID,DestAirportID,DayOfWeek,DepTimeBlk30,ArrTimeBlk30,Aircraft,Seats,AirTime,Cost,AircraftGroup
10140,10397,1,729,1229,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,1,1129,1629,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,1,1659,2159,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,2,729,1229,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,2,729,1229,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,2,1429,1929,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,3,729,1229,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,3,1429,1929,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,4,729,1229,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,4,1129,1629,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,4,1659,2159,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,5,729,1229,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,5,729,1229,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,5,1129,1629,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,5,1659,2159,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,729,1229,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,729,1229,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,729,1229,A321-211-PSGR,191,180.0,20223.946220930233,699
10140,10397,6,1129,1629,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,1129,1629,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,1129,1629,A321-211-PSGR,191,180.0,20223.946220930233,699
10140,10397,6,1659,2159,737-900ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,1659,2159,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,6,1659,2159,A321-211-PSGR,191,180.0,20223.946220930233,699
10140,10397,7,729,1229,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,7,1129,1629,737-932ER-PSGR,180,180.0,19598.620901011338,888
10140,10397,7,1659,2159,737-900ER-PSGR,180,180.0,19598.620901011338,888
