OriginAirportID,DestAirportID,DayOfWeek,DepTimeBlk30,ArrTimeBlk30,Aircraft,Seats,AirTime,Cost,AircraftGroup
10140,12889,1,1959,2029,A-320-PSGR,182,97.0,8409.967598020059,694
10140,12889,2,1959,2029,A-320-PSGR,182,97.0,8409.967598020059,694
10140,12889,4,1959,2029,A-320-PSGR,182,96.0,8323.266901133255,694
10140,12889,5,1959,2029,A-320-PSGR,182,96.0,8323.266901133255,694
10140,12889,6,1959,2029,A-320-PSGR,182,97.0,8409.967598020059,694
10140,12889,7,1959,2029,A-320-PSGR,182,97.0,8409.967598020059,694
10158,11697,1,1829,2129,A-320-PSGR,182,167.0,14479.016380096391,694
10158,11697,1,1929,2229,A-320-PSGR,182,167.0,14479.016380096391,694
10158,11697,3,1829,2129,A-320-PSGR,182,160.0,13872.111501888758,694
10158,11697,3,1929,2229,A-320-PSGR,182,160.0,13872.111501888758,694
10158,11697,4,1929,2229,A-320-PSGR,182,160.0,13872.111501888758,694
10158,11697,5,1829,2129,A-320-PSGR,182,160.0,13872.111501888758,694
10158,11697,5,1929,2229,A-320-PSGR,182,160.0,13872.111501888758,694
10158,13204,1,629,829,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,1,629,859,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,1,1329,1559,A-319-PSGR,145,161.0,13955.817460757156,698
10158,13204,2,629,829,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,2,629,859,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,2,1329,1559,A-319-PSGR,145,161.0,13955.817460757156,698
10158,13204,3,629,859,A-320-PSGR,182,146.0,12658.30174547349,694
10158,13204,3,1329,1559,A-319-PSGR,145,146.0,12655.586020313942,698
10158,13204,4,629,829,A-320-PSGR,182,146.0,12658.30174547349,694
10158,13204,5,629,829,A-320-PSGR,182,146.0,12658.30174547349,694
10158,13204,5,629,859,A-320-PSGR,182,146.0,12658.30174547349,694
10158,13204,5,1329,1559,A-319-PSGR,145,146.0,12655.586020313942,698
10158,13204,6,629,829,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,6,629,859,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,6,1329,1559,A-319-PSGR,145,161.0,13955.817460757156,698
10158,13204,7,629,829,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,7,629,859,A-320-PSGR,182,161.0,13958.812198775562,694
10158,13204,7,1329,1559,A-319-PSGR,145,161.0,13955.817460757156,698
10158,14027,1,959,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,1,1029,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,2,959,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,2,1029,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,3,959,1259,A-319-PSGR,145,152.0,13175.678596491229,698
10158,14027,3,1029,1259,A-319-PSGR,145,152.0,13175.678596491229,698
10158,14027,4,1029,1259,A-319-PSGR,145,152.0,13175.678596491229,698
10158,14027,5,1029,1259,A-319-PSGR,145,152.0,13175.678596491229,698
10158,14027,6,959,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,6,1029,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,7,959,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14027,7,1029,1259,A-319-PSGR,145,160.0,13869.135364727608,698
10158,14635,1,629,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,1,659,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,2,629,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,2,659,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,3,629,929,A-319-PSGR,145,164.0,14215.8637488458,698
10158,14635,3,659,929,A-319-PSGR,145,164.0,14215.8637488458,698
10158,14635,4,629,929,A-319-PSGR,145,164.0,14215.8637488458,698
10158,14635,4,659,929,A-319-PSGR,145,164.0,14215.8637488458,698
10158,14635,5,659,929,A-319-PSGR,145,164.0,14215.8637488458,698
10158,14635,6,629,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,6,659,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,7,629,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,14635,7,659,929,A-319-PSGR,145,173.0,14996.002613111728,698
10158,15304,1,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,2,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,3,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,4,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,5,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,6,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10158,15304,7,1659,1929,A-319-PSGR,145,149.0,12915.632308402586,698
10397,10721,1,1059,1329,A-320-PSGR,182,138.0,11964.696170379053,694
10397,10721,4,1059,1329,A-320-PSGR,182,158.0,13698.710108115149,694
10397,10721,5,1059,1329,A-320-PSGR,182,158.0,13698.710108115149,694
10397,10721,6,1059,1329,A-320-PSGR,182,138.0,11964.696170379053,694
10397,10721,7,1059,1329,A-320-PSGR,182,138.0,11964.696170379053,694
10397,10821,1,1629,1759,A-321-PSGR,228,103.0,8929.450147630147,699
10397,10821,2,1629,1759,A-321-PSGR,228,103.0,8929.450147630147,699
