OriginAirportID,DestAirportID,DayOfWeek,DepTimeBlk30,ArrTimeBlk30,Aircraft,Seats,AirTime,Cost,AircraftGroup
10140,11292,1,729,829,737-824,154,85.0,7037.6928205623735,614
10140,11292,1,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,1,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,1,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,2,729,829,737-824,154,85.0,7037.6928205623735,614
10140,11292,2,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,2,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,2,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,3,729,829,737-924ER,173,85.0,7553.444402825343,888
10140,11292,3,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,3,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,3,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,4,729,829,737-924ER,173,85.0,7553.444402825343,888
10140,11292,4,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,4,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,4,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,5,729,829,737-824,154,85.0,7037.6928205623735,614
10140,11292,5,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,5,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,6,729,829,737-824,154,85.0,7037.6928205623735,614
10140,11292,6,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,6,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,6,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,11292,7,729,829,737-924ER,173,85.0,7553.444402825343,888
10140,11292,7,729,859,737-824,154,85.0,7037.6928205623735,614
10140,11292,7,1359,1529,A320-232,142,85.0,7609.6202859760815,694
10140,11292,7,1829,1959,737-824,154,85.0,7037.6928205623735,614
10140,12266,1,759,1059,A319-131,120,122.0,12130.45114873035,698
10140,12266,2,759,1059,A320-232,142,122.0,10922.043233989198,694
10140,12266,3,759,1059,A320-232,142,122.0,10922.043233989198,694
10140,12266,4,759,1059,A320-232,142,122.0,10922.043233989198,694
10140,12266,5,759,1059,A320-232,142,122.0,10922.043233989198,694
10140,12266,6,759,1059,A320-232,142,122.0,10922.043233989198,694
10140,12266,7,759,1059,A319-131,120,122.0,12130.45114873035,698
10140,13930,1,1259,1659,A319-131,120,173.0,17201.37744860943,698
10140,13930,2,1259,1659,A319-131,120,173.0,17201.37744860943,698
10140,13930,3,1259,1659,A320-232,142,173.0,15487.815405574847,694
10140,13930,4,1259,1659,A320-232,142,173.0,15487.815405574847,694
10140,13930,5,1259,1659,A319-131,120,173.0,17201.37744860943,698
10140,13930,5,1259,1659,A319-132,120,173.0,17201.37744860943,698
10140,13930,6,1259,1659,A319-131,120,173.0,17201.37744860943,698
10140,13930,7,1259,1659,A320-232,142,173.0,15487.815405574847,694
10257,13930,1,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,1,1159,1329,737-824,154,145.0,12005.475988018165,614
10257,13930,1,1729,1859,737-824,154,145.0,12005.475988018165,614
10257,13930,2,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,2,629,759,A319-131,120,145.0,14417.339480048366,698
10257,13930,2,1159,1329,737-824,154,145.0,12005.475988018165,614
10257,13930,2,1729,1859,737-824,154,145.0,12005.475988018165,614
10257,13930,3,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,3,1159,1329,737-824,154,145.0,12005.475988018165,614
10257,13930,3,1729,1859,737-824,154,145.0,12005.475988018165,614
10257,13930,4,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,4,1159,1329,737-824,154,145.0,12005.475988018165,614
10257,13930,4,1729,1859,737-824,154,145.0,12005.475988018165,614
10257,13930,5,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,5,1159,1329,737-824,154,145.0,12005.475988018165,614
10257,13930,5,1729,1859,737-824,154,145.0,12005.475988018165,614
10257,13930,6,629,759,737-924ER,173,145.0,12885.287510702055,888
10257,13930,6,1729,1859,737-724,124,145.0,22459.956023343053,612
10257,13930,7,629,759,A320-232,142,145.0,12981.116958429784,694
10257,13930,7,1129,1259,737-824,154,145.0,12005.475988018165,614
10257,13930,7,1729,1859,A320-232,142,145.0,12981.116958429784,694
10299,11292,1,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,2,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,3,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,4,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,5,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,6,2359,659,737-824,154,313.0,25915.268856894385,614
10299,11292,7,2359,659,737-824,154,313.0,25915.268856894385,614
10299,13930,1,2059,629,737-9,179,369.0,27892.814450017297,839
10299,13930,1,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,1,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,2,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,2,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,3,2059,629,737-9,179,369.0,27892.814450017297,839
10299,13930,3,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,3,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,4,2059,629,737-9,179,369.0,27892.814450017297,839
10299,13930,4,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,4,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,5,2059,629,737-9,179,369.0,27892.814450017297,839
10299,13930,5,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,5,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,6,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,6,2329,829,737-9,179,369.0,27892.814450017297,839
10299,13930,7,2059,629,737-9,179,369.0,27892.814450017297,839
10299,13930,7,2129,629,737-9,179,369.0,27892.814450017297,839
10299,13930,7,2329,829,737-9,179,369.0,27892.814450017297,839
10397,11292,1,859,1029,A320-232,142,204.0,18263.088686342595,694
10397,11292,1,1359,1459,A319-131,120,204.0,20283.705199516324,698
10397,11292,1,1659,1759,737-824,154,204.0,16890.462769349695,614
10397,11292,1,1829,1959,A320-232,142,204.0,18263.088686342595,694
10397,11292,2,859,1029,A320-232,142,204.0,18263.088686342595,694
10397,11292,2,1359,1459,A320-232,142,204.0,18263.088686342595,694
10397,11292,2,1659,1759,737-824,154,204.0,16890.462769349695,614
10397,11292,2,1829,1959,A320-232,142,204.0,18263.088686342595,694
10397,11292,3,859,1029,A320-232,142,200.0,17904.988908179017,694
10397,11292,3,1359,1459,A319-131,120,200.0,19885.985489721887,698
10397,11292,3,1659,1759,737-824,154,200.0,16559.277224852645,614
10397,11292,3,1659,1759,737-924ER,173,200.0,17772.810359589042,888
10397,11292,3,1829,1959,A320-232,142,200.0,17904.988908179017,694
10397,11292,4,859,1029,A320-232,142,204.0,18263.088686342595,694
10397,11292,4,1359,1459,A320-232,142,204.0,18263.088686342595,694
10397,11292,4,1659,1759,737-824,154,204.0,16890.462769349695,614
10397,11292,4,1829,1959,A320-232,142,204.0,18263.088686342595,694
10397,11292,5,859,1029,A320-232,142,204.0,18263.088686342595,694
10397,11292,5,1359,1459,A319-131,120,204.0,20283.705199516324,698
10397,11292,5,1659,1759,737-924ER,173,204.0,18128.26656678082,888
10397,11292,6,859,1029,A320-232,142,200.0,17904.988908179017,694
10397,11292,6,1659,1759,737-824,154,200.0,16559.277224852645,614
10397,11292,7,859,1029,A320-232,142,200.0,17904.988908179017,694
10397,11292,7,1659,1759,737-824,154,200.0,16559.277224852645,614
10397,11618,1,629,829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,1,1129,1329,A320-232,142,145.0,12981.116958429784,694
10397,11618,1,1129,1359,737-8,162,145.0,10519.850621740874,838
10397,11618,1,1229,1459,A320-232,142,145.0,12981.116958429784,694
10397,11618,1,1559,1829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,2,629,829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,2,1129,1359,A320-232,142,145.0,12981.116958429784,694
10397,11618,2,1559,1829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,2,1629,1859,A319-132,120,145.0,14417.339480048366,698
10397,11618,3,629,829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,3,1129,1359,A319-131,120,145.0,14417.339480048366,698
10397,11618,3,1559,1829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,3,1629,1859,A319-131,120,145.0,14417.339480048366,698
10397,11618,4,629,829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,4,1129,1359,737-824,154,145.0,12005.475988018165,614
10397,11618,4,1129,1359,A320-232,142,145.0,12981.116958429784,694
10397,11618,4,1559,1829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,5,629,829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,5,1129,1359,737-8,162,145.0,10519.850621740874,838
10397,11618,5,1559,1829,737-924ER,173,145.0,12885.287510702055,888
10397,11618,5,1959,2159,737-824,154,145.0,12005.475988018165,614
10397,11618,6,629,829,737-924ER,173,152.0,13507.335873287671,888
10397,11618,6,729,959,737-8,162,152.0,11027.70547934216,838
10397,11618,6,1129,1359,A320-232,142,152.0,13607.79157021605,694
10397,11618,7,629,829,737-924ER,173,148.0,13151.879666095892,888
10397,11618,7,1129,1359,737-8,162,148.0,10737.502703569997,838
10397,11618,7,1559,1829,A320-232,142,148.0,13249.691792052472,694
10397,12264,1,559,759,A320-232,142,111.0,9937.268844039354,694
10397,12264,1,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,1,1459,1629,A320-232,142,111.0,9937.268844039354,694
10397,12264,1,1929,2129,A320-232,142,111.0,9937.268844039354,694
10397,12264,2,559,759,A319-131,120,111.0,11036.721946795647,698
10397,12264,2,929,1129,737-724,124,111.0,17193.4835764902,612
10397,12264,2,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,2,1459,1629,A320-232,142,111.0,9937.268844039354,694
10397,12264,2,1929,2129,A320-232,142,111.0,9937.268844039354,694
10397,12264,3,559,759,A319-131,120,105.0,10440.14238210399,698
10397,12264,3,929,1129,737-724,124,105.0,16264.106085869109,612
10397,12264,3,959,1129,A320-232,142,105.0,9400.119176793982,694
10397,12264,3,1459,1629,A320-232,142,105.0,9400.119176793982,694
10397,12264,3,1929,2129,A320-232,142,105.0,9400.119176793982,694
10397,12264,4,559,759,A319-132,120,111.0,11036.721946795647,698
10397,12264,4,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,4,1459,1629,A319-131,120,111.0,11036.721946795647,698
10397,12264,4,1459,1629,A319-132,120,111.0,11036.721946795647,698
10397,12264,4,1929,2129,A320-232,142,111.0,9937.268844039354,694
10397,12264,5,559,759,A319-131,120,111.0,11036.721946795647,698
10397,12264,5,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,5,1459,1629,A320-232,142,111.0,9937.268844039354,694
10397,12264,5,1929,2129,A320-232,142,111.0,9937.268844039354,694
10397,12264,6,559,759,A319-131,120,111.0,11036.721946795647,698
10397,12264,6,929,1129,737-724,124,111.0,17193.4835764902,612
10397,12264,6,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,6,1459,1629,A319-131,120,111.0,11036.721946795647,698
10397,12264,6,1929,2129,A319-131,120,111.0,11036.721946795647,698
10397,12264,7,559,759,A320-232,142,111.0,9937.268844039354,694
10397,12264,7,959,1129,A320-232,142,111.0,9937.268844039354,694
10397,12264,7,1459,1629,A319-131,120,111.0,11036.721946795647,698
10397,12264,7,1929,2129,A320-232,142,111.0,9937.268844039354,694
10397,12266,1,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,1,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,1,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,1,1729,1829,A320-232,142,136.0,12175.39245756173,694
10397,12266,2,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,2,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,2,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,2,1729,1829,A320-232,142,136.0,12175.39245756173,694
10397,12266,3,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,3,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,3,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,4,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,4,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,4,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,4,1729,1829,A320-232,142,136.0,12175.39245756173,694
10397,12266,5,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,5,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,5,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,5,1729,1829,A320-232,142,136.0,12175.39245756173,694
10397,12266,6,729,829,737-724,124,136.0,21065.88978741142,612
10397,12266,6,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,6,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,7,729,829,A320-232,142,136.0,12175.39245756173,694
10397,12266,7,959,1059,A320-232,142,136.0,12175.39245756173,694
10397,12266,7,1229,1329,737-924,173,136.0,10280.278496483339,839
10397,12266,7,1729,1829,A320-232,142,136.0,12175.39245756173,694
10397,13930,1,659,759,737-724,124,126.0,19516.927303042932,612
10397,13930,1,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,1,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,1,1729,1859,737-724,124,126.0,19516.927303042932,612
10397,13930,1,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,2,659,759,737-724,124,126.0,19516.927303042932,612
10397,13930,2,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,2,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,2,1729,1859,737-724,124,126.0,19516.927303042932,612
10397,13930,2,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,3,659,759,737-724,124,126.0,19516.927303042932,612
10397,13930,3,659,759,A319-131,120,126.0,12528.170858524789,698
10397,13930,3,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,3,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,3,1729,1859,A320-232,142,126.0,11280.14301215278,694
10397,13930,3,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,4,659,759,A319-131,120,126.0,12528.170858524789,698
10397,13930,4,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,4,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,4,1729,1859,737-724,124,126.0,19516.927303042932,612
10397,13930,4,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,5,659,759,A319-131,120,126.0,12528.170858524789,698
10397,13930,5,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,5,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,5,1729,1859,737-724,124,126.0,19516.927303042932,612
10397,13930,5,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,6,659,759,737-724,124,126.0,19516.927303042932,612
10397,13930,6,659,759,A319-131,120,126.0,12528.170858524789,698
10397,13930,6,1059,1229,737-724,124,126.0,19516.927303042932,612
10397,13930,6,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,13930,6,1859,2029,737-824,154,126.0,10432.344651657166,614
10397,13930,7,659,759,737-924ER,173,126.0,11196.870526541097,888
10397,13930,7,659,759,A320-232,142,126.0,11280.14301215278,694
10397,13930,7,1059,1229,A320-232,142,126.0,11280.14301215278,694
10397,13930,7,1559,1729,737-724,124,126.0,19516.927303042932,612
10397,14771,1,729,959,737-824,154,318.0,26329.250787515703,614
10397,14771,1,729,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,1,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,1,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,1,1959,2229,A319-131,120,318.0,31618.716928657796,698
10397,14771,2,729,959,737-824,154,318.0,26329.250787515703,614
10397,14771,2,729,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,2,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,2,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,2,1959,2229,737-9,179,318.0,24037.710013836044,839
10397,14771,2,1959,2229,A319-131,120,318.0,31618.716928657796,698
10397,14771,2,1959,2229,A319-132,120,318.0,31618.716928657796,698
10397,14771,3,729,959,737-824,154,318.0,26329.250787515703,614
10397,14771,3,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,3,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,3,1959,2229,A319-131,120,318.0,31618.716928657796,698
10397,14771,4,729,959,737-824,154,318.0,26329.250787515703,614
10397,14771,4,729,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,4,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,4,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,4,1959,2229,A319-131,120,318.0,31618.716928657796,698
10397,14771,5,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,5,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,6,759,959,A320-232,142,324.0,29006.082031250007,694
10397,14771,6,1959,2159,737-924ER,173,324.0,28791.95278253425,888
10397,14771,6,1959,2229,737-924ER,173,324.0,28791.95278253425,888
10397,14771,7,759,959,A320-232,142,318.0,28468.93236400463,694
10397,14771,7,1959,2159,737-924ER,173,318.0,28258.768471746575,888
10397,14771,7,1959,2229,A319-131,120,318.0,31618.716928657796,698
10423,11292,1,559,729,737-824,154,133.0,11011.919354527008,614
10423,11292,1,859,1029,737-924ER,173,133.0,11818.918889126713,888
10423,11292,1,1129,1259,A320-232,142,133.0,11906.817623939045,694
10423,11292,1,1459,1629,737-824,154,133.0,11011.919354527008,614
10423,11292,1,1829,1959,A319-131,120,133.0,13224.180350665054,698
10423,11292,2,559,729,737-824,154,133.0,11011.919354527008,614
10423,11292,2,859,959,737-824,154,133.0,11011.919354527008,614
10423,11292,2,859,959,A319-131,120,133.0,13224.180350665054,698
10423,11292,2,859,959,A319-132,120,133.0,13224.180350665054,698
10423,11292,2,859,1029,737-924ER,173,133.0,11818.918889126713,888
10423,11292,2,1129,1259,A320-232,142,133.0,11906.817623939045,694
10423,11292,2,1459,1629,737-824,154,133.0,11011.919354527008,614
10423,11292,2,1829,1959,A319-131,120,133.0,13224.180350665054,698
10423,11292,3,559,729,737-824,154,133.0,11011.919354527008,614
10423,11292,3,859,959,A319-131,120,133.0,13224.180350665054,698
10423,11292,3,859,1029,737-924ER,173,133.0,11818.918889126713,888
10423,11292,3,1129,1259,A320-232,142,133.0,11906.817623939045,694
10423,11292,3,1459,1629,737-824,154,133.0,11011.919354527008,614
10423,11292,3,1829,1959,A319-131,120,133.0,13224.180350665054,698
10423,11292,4,559,729,737-824,154,133.0,11011.919354527008,614
10423,11292,4,859,959,A319-131,120,133.0,13224.180350665054,698
10423,11292,4,859,1029,737-924ER,173,133.0,11818.918889126713,888
10423,11292,4,1129,1259,A320-232,142,133.0,11906.817623939045,694
10423,11292,4,1459,1629,737-824,154,133.0,11011.919354527008,614
10423,11292,4,1829,1959,A319-131,120,133.0,13224.180350665054,698
10423,11292,5,559,729,737-824,154,133.0,11011.919354527008,614
10423,11292,5,859,1029,737-924ER,173,133.0,11818.918889126713,888
10423,11292,5,1129,1259,A320-232,142,133.0,11906.817623939045,694
10423,11292,5,1459,1629,737-824,154,133.0,11011.919354527008,614
10423,11292,5,1829,1959,A319-131,120,133.0,13224.180350665054,698
10423,11292,6,559,729,737-924ER,173,143.0,12707.559407106164,888
10423,11292,6,1459,1629,737-824,154,143.0,11839.88321576964,614
10423,11292,6,1829,1959,A319-131,120,143.0,14218.479625151147,698
10423,11292,7,559,729,737-824,154,143.0,11839.88321576964,614
10423,11292,7,859,1029,737-924ER,173,143.0,12707.559407106164,888
10423,11292,7,1459,1629,A319-131,120,143.0,14218.479625151147,698
10423,11292,7,1829,1959,A319-132,120,143.0,14218.479625151147,698
10423,11618,1,629,1059,A320-232,142,229.0,20501.212299864972,694
10423,11618,1,729,1159,737-8,162,229.0,16614.10891295628,838
10423,11618,1,1359,1859,737-724,124,229.0,35471.240892038346,612
10423,11618,1,1659,2159,737-824,154,229.0,18960.372422456276,614
10423,11618,1,1829,2259,737-8,162,229.0,16614.10891295628,838
10423,11618,2,629,1059,737-924ER,173,229.0,20349.867861729454,888
10423,11618,2,629,1059,A320-232,142,229.0,20501.212299864972,694
10423,11618,2,729,1159,737-8,162,229.0,16614.10891295628,838
10423,11618,2,1359,1859,737-724,124,229.0,35471.240892038346,612
10423,11618,2,1659,2159,737-824,154,229.0,18960.372422456276,614
10423,11618,2,1829,2259,737-824,154,229.0,18960.372422456276,614
10423,11618,3,629,1059,A320-232,142,229.0,20501.212299864972,694
10423,11618,3,729,1159,737-8,162,229.0,16614.10891295628,838
10423,11618,3,1359,1859,737-724,124,229.0,35471.240892038346,612
10423,11618,3,1659,2159,737-824,154,229.0,18960.372422456276,614
10423,11618,3,1829,2259,737-8,162,229.0,16614.10891295628,838
10423,11618,4,629,1059,A320-232,142,229.0,20501.212299864972,694
10423,11618,4,729,1159,737-724,124,229.0,35471.240892038346,612
10423,11618,4,1359,1859,737-724,124,229.0,35471.240892038346,612
10423,11618,4,1659,2159,737-824,154,229.0,18960.372422456276,614
10423,11618,4,1829,2259,737-824,154,229.0,18960.372422456276,614
10423,11618,5,629,1059,737-9,179,229.0,17310.174821284447,839
10423,11618,5,729,1159,737-724,124,229.0,35471.240892038346,612
