OriginAirportID,DestAirportID,DayOfWeek,DepTimeBlk30,ArrTimeBlk30,Aircraft,Seats,AirTime,Cost,AircraftGroup
10140,10423,1,1629,1859,737-7H4,143,100.0,9013.738406344864,612
10140,10423,4,1629,1859,737-7H4,143,95.0,8563.051486027622,612
10140,10423,5,1629,1859,737-7H4,143,95.0,8563.051486027622,612
10140,10821,6,1429,1959,737-7H4,143,215.0,19379.53757364146,612
10140,10821,6,1429,1959,737-8,175,215.0,16653.73098368555,838
10140,11259,1,1059,1329,737-7H4,143,100.0,9013.738406344864,612
10140,11259,1,1859,2159,737-7H4,143,100.0,9013.738406344864,612
10140,11259,2,859,1129,737-7H4,143,105.0,9464.425326662107,612
10140,11259,2,1429,1729,737-7H4,143,105.0,9464.425326662107,612
10140,11259,2,1429,1729,737-800,175,105.0,9640.676096929772,614
10140,11259,3,1429,1729,737-7H4,143,105.0,9464.425326662107,612
10140,11259,4,1059,1329,737-7H4,143,105.0,9464.425326662107,612
10140,11259,4,1429,1729,737-8H4,175,105.0,9640.676096929772,614
10140,11259,4,1859,2159,737-7H4,143,105.0,9464.425326662107,612
10140,11259,5,1059,1329,737-7H4,143,105.0,9464.425326662107,612
10140,11259,5,1429,1729,737-7H4,143,105.0,9464.425326662107,612
10140,11259,5,1859,2159,737-7H4,143,105.0,9464.425326662107,612
10140,11259,6,1029,1259,737-7H4,143,100.0,9013.738406344864,612
10140,11259,6,1729,2029,737-7H4,143,100.0,9013.738406344864,612
10140,11259,7,529,759,737-7H4,143,100.0,9013.738406344864,612
10140,11259,7,1129,1359,737-7H4,143,100.0,9013.738406344864,612
10140,11259,7,1129,1359,737-8,175,100.0,7745.921387760722,838
10140,11292,1,559,729,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,1,1859,2029,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,2,559,729,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,2,1859,2029,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,3,559,729,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,3,1859,2029,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,4,559,729,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,4,1859,2029,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,5,559,729,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,5,1859,2029,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,6,1929,2059,737-7H4,143,85.0,7661.677645393135,612
10140,11292,7,1359,1529,737-7H4,143,80.0,7210.9907250758915,612
10140,11292,7,1929,2059,737-7H4,143,80.0,7210.9907250758915,612
10140,12191,1,559,859,737-8,175,120.0,9295.105665312865,838
10140,12191,1,1129,1429,737-7H4,143,120.0,10816.486087613837,612
10140,12191,2,559,859,737-8H4,175,125.0,11476.995353487824,614
10140,12191,2,1129,1429,737-800,175,125.0,11476.995353487824,614
10140,12191,3,559,859,737-800,175,125.0,11476.995353487824,614
10140,12191,3,559,859,737-8H4,175,125.0,11476.995353487824,614
10140,12191,3,1129,1429,737-8H4,175,125.0,11476.995353487824,614
10140,12191,4,559,859,737-8H4,175,125.0,11476.995353487824,614
10140,12191,4,1129,1429,737-7H4,143,125.0,11267.173007931082,612
10140,12191,4,1129,1429,737-8,175,125.0,9682.401734700901,838
10140,12191,5,559,859,737-8H4,175,125.0,11476.995353487824,614
10140,12191,5,1129,1429,737-7H4,143,125.0,11267.173007931082,612
10140,12191,6,659,959,737-7H4,143,120.0,10816.486087613837,612
10140,12191,6,1429,1729,737-7H4,143,120.0,10816.486087613837,612
10140,12191,7,729,1029,737-7H4,143,125.0,11267.173007931082,612
10140,12191,7,1629,1929,737-7H4,143,125.0,11267.173007931082,612
10140,12889,1,629,659,737-7H4,143,95.0,8563.051486027622,612
10140,12889,1,629,659,737-8H4,175,95.0,8722.516468650745,614
10140,12889,1,2029,2059,737-7H4,143,95.0,8563.051486027622,612
10140,12889,2,629,659,737-7H4,143,100.0,9013.738406344864,612
10140,12889,3,629,659,737-800,175,100.0,9181.596282790259,614
10140,12889,4,629,659,737-7H4,143,100.0,9013.738406344864,612
10140,12889,4,2029,2059,737-7H4,143,100.0,9013.738406344864,612
10140,12889,5,629,659,737-7H4,143,100.0,9013.738406344864,612
10140,12889,5,2029,2059,737-7H4,143,100.0,9013.738406344864,612
10140,12889,6,1159,1229,737-7H4,143,95.0,8563.051486027622,612
10140,12889,6,1829,1859,737-7H4,143,95.0,8563.051486027622,612
10140,12892,1,1029,1129,737-8H4,175,130.0,11936.075167627336,614
10140,12892,1,1829,1929,737-7H4,143,130.0,11717.859928248323,612
10140,12892,2,1829,1929,737-7H4,143,125.0,11267.173007931082,612
10140,12892,3,1829,1929,737-7H4,143,125.0,11267.173007931082,612
10140,12892,4,1029,1129,737-7H4,143,125.0,11267.173007931082,612
10140,12892,4,1029,1129,737-8H4,175,125.0,11476.995353487824,614
10140,12892,4,1829,1929,737-7H4,143,125.0,11267.173007931082,612
10140,12892,5,1029,1129,737-7H4,143,125.0,11267.173007931082,612
10140,12892,5,1829,1929,737-7H4,143,125.0,11267.173007931082,612
10140,12892,7,1729,1829,737-7H4,143,125.0,11267.173007931082,612
10140,13796,1,629,759,737-8,175,150.0,11618.88208164108,838
10140,13796,2,629,759,737-8,175,150.0,11618.88208164108,838
10140,13796,3,629,759,737-8,175,150.0,11618.88208164108,838
10140,13796,3,629,759,737-8H4,175,150.0,13772.394424185388,614
10140,13796,4,629,759,737-800,175,150.0,13772.394424185388,614
10140,13796,5,629,759,737-8,175,150.0,11618.88208164108,838
10140,13796,6,629,759,737-7H4,143,155.0,13971.29452983454,612
10140,13796,7,629,759,737-8,175,155.0,12006.178151029118,838
10140,14107,1,659,729,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,1,729,729,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,1,1529,1529,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,1,1829,1859,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,2,1529,1529,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,3,1529,1529,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,4,659,729,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,4,729,729,737-7H4,143,80.0,7210.9907250758915,612
10140,14107,4,729,729,737-7Q8,143,80.0,7210.9907250758915,612
